"carrier_name","ave_arrivals","ave_delayed","ave_cancelled","ave_diverted","ave_ontime"
"Hawaiian Airlines Inc.",68318.6363636364,0.0931593116656912,138.090909090909,60.9090909090909,0.906840688334309
"Endeavor Air Inc.",119950,0.14308461859108,1691,186,0.85691538140892
"Alaska Airlines Inc.",152047.909090909,0.152560062600629,1039.36363636364,407.636363636364,0.847439937399371
"Virgin America",46763.75,0.176018062686271,328.5,91.75,0.823981937313729
"Republic Airline",316090,0.18001518554842,10100,738,0.81998481445158
"US Airways Inc.",295258.8,0.192865924402199,4145.8,526.8,0.807134075597801
"AirTran Airways Corporation",193617.333333333,0.19461053604488,1753,437.166666666667,0.80538946395512
"United Air Lines Inc.",228978.666666667,0.201052118688457,3630,480,0.798947881311543
"PSA Airlines Inc.",278457,0.201682845107144,11870,803,0.798317154892856
"Southwest Airlines Co.",1109043.63636364,0.201789861599684,12367.8181818182,2284.18181818182,0.798210138400316
